"priority_rank","ignore_rank","warehouse","category","priority_score","completed_stays","historical_long_stays","historical_long_stay_rate_pct","open_stays","open_long_stays","open_long_stay_rate_pct","max_open_dwell_hours"
NULL,1,"umaria, umaria, madhya pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,15.63
NULL,1,"umarkhed","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"umbergaon","Ignore",0.00,2,0,0.00,2,0,0.00,30.67
NULL,1,"umesh chandra talgram","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"una","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"una, una, himachal pradesh","Ignore",0.00,27,0,0.00,0,0,0.00,0.00
NULL,1,"unahphub_una","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"unahphub_una una","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"unnao","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"unnaohub_unn unnao","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"up store manjeri","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"upadhyay kirana udham singh nagar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"upadhyay mumbai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"upendar rao hyderabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"uph, lucknow, uttar pradesh","Ignore",0.00,226,0,0.00,0,0,0.00,0.00
NULL,1,"uppinangady","Ignore",0.00,19,0,0.00,2,0,0.00,16.30
NULL,1,"urga, korba, chhattisgarh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"urgamdh_urg korba","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"usgao, ponda goa, goa","Ignore",0.00,0,0,0.00,1,0,0.00,38.20
NULL,1,"usmaan enterprises mumbai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ustimdh_ddh diamondharbour","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"utangarai","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"utangaraihub_utn utangarai","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"uthukottaihub_trl tiruvallur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"uti service center","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"utpal house katwa","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"uttam kirana 65 new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"uttamnagar hub","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"uttamnagar hub delhi","Ignore",0.00,23,0,0.00,1,0,0.00,14.92
NULL,1,"uttar dinajpur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"v & s store new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"v20 nagar visnagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vaaraahi master kirana east godavari","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vadapalani","Ignore",0.00,1,0,0.00,7,0,0.00,29.50
NULL,1,"vadavallihub_cjb coimbatore","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"vadodara/akt, vadodara, gujarat","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vadodara/krb, vadodara, gujarat","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vadodara/wgd, vadodara, gujarat","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vaijapur","Ignore",0.00,1,0,0.00,1,0,0.00,14.62
NULL,1,"vaijapurhub_vjp vaijapur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vaikom","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"vaishali","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vaishali nagar","Ignore",0.00,7,0,0.00,4,0,0.00,15.38
NULL,1,"vaishalinagar, jaipur, rajasthan","Ignore",0.00,1,0,0.00,1,0,0.00,33.18
NULL,1,"vaishnavi store vadodara","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vaka vijaya kumar reddy master kirana kakinada","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"valase satara, satara, maharashtra","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"valiyaveettil home alappuzha","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"valparai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"valsad","Ignore",0.00,19,0,0.00,1,0,0.00,22.00
NULL,1,"valsad hub valsad","Ignore",0.00,14,0,0.00,1,0,0.00,14.86
NULL,1,"vanasthalipuram","Ignore",0.00,0,0,0.00,2,0,0.00,16.47
NULL,1,"vandana jayant todkar kolhapur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vandanabaggatelecom.mk ludhiana","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vaniyambadi","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vaniyambadihub_vnm vaniyambadi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vansda, vansda, gujarat","Ignore",0.00,0,0,0.00,1,0,0.00,14.79
NULL,1,"vansh enterprise jamnagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vanshika enterprise dehradun","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vapi hub vapi","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vapi, vapi, gujarat","Ignore",0.00,0,0,0.00,1,0,0.00,14.87
NULL,1,"vapm","Ignore",0.00,0,0,0.00,3,0,0.00,15.14
NULL,1,"varanasi, uttar pradesh, in","Ignore",0.00,0,0,0.00,1,0,0.00,19.69
NULL,1,"varanasi, varanasi, uttar pradesh","Ignore",0.00,0,0,0.00,7,0,0.00,16.38
NULL,1,"varanasibyepasshub_vns","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"varanasibyepasshub_vns varanasi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"varapuzha","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"varkalahub_vkl","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"varkalahub_vkl trivandrum","Ignore",0.00,3,0,0.00,2,0,0.00,15.02
NULL,1,"varsha coaching center ajmer","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"varthur","Ignore",0.00,0,0,0.00,5,0,0.00,15.20
NULL,1,"varun kumar kirana gautam buddha nagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vasai (vasm)","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vasai apex/sfc pud","Ignore",0.00,0,0,0.00,2,0,0.00,14.98
NULL,1,"vasai hub","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vasai hub thane","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"vasai road etail","Ignore",0.00,2,0,0.00,4,0,0.00,16.88
NULL,1,"vasai/hub, vasai, maharashtra","Ignore",0.00,1525,0,0.00,6,0,0.00,26.48
NULL,1,"vasaiodh_mum palghar","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vasaiwesthub_mum mumbai","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vasant vihar","Ignore",0.00,430,0,0.00,0,0,0.00,0.00
NULL,1,"vasantkunj hub","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"vasantkunj hub delhi","Ignore",0.00,20,0,0.00,2,0,0.00,15.90
NULL,1,"vashi hub mumbai","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"vashi mini hub","Ignore",0.00,1010,0,0.00,6,0,0.00,22.80
NULL,1,"vastralmetroodh_vas","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vastralmetroodh_vas ahmedabad","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vatika, jaipur, rajasthan","Ignore",0.00,2,0,0.00,2,0,0.00,16.01
NULL,1,"vayathur","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vayathurhub_vyt","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vayathurhub_vyt vayathur","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vazhakulam","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vazhakulamosh_vaz vazhakulam","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vazheetharayil midhun bhavan home alappuzha","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vedaranyam","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vedaranyammdh_vdm vedaranyam","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"veerabadreswar prassan bellary","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"veeresh kirana store bagalkot","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vejalpurhub_adi","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vejalpurhub_adi ahmedabad","Ignore",0.00,16,0,0.00,0,0,0.00,0.00
NULL,1,"velachery","Ignore",0.00,2,0,0.00,3,0,0.00,15.67
NULL,1,"velda","Ignore",0.00,0,0,0.00,1,0,0.00,50.18
NULL,1,"vellalore patinam s/c","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vellore","Ignore",0.00,55,0,0.00,6,0,0.00,32.48
NULL,1,"vellore hub vellore","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vellore tn, vellore, tamil nadu","Ignore",0.00,0,0,0.00,1,0,0.00,16.12
NULL,1,"vellorehubtemp_vlr","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vellorehubtemp_vlr vellore","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vengurla, vengurla, maharashtra","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"venjaramood","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"venturefirstkalikiriodh_kal kalikiri","Ignore",0.00,0,0,0.00,1,0,0.00,15.63
NULL,1,"veraval","Ignore",0.00,0,0,0.00,1,0,0.00,19.31
NULL,1,"verkaodh_atq","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"verkaodh_atq amritsar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"verna","Ignore",0.00,9,0,0.00,1,0,0.00,22.14
NULL,1,"verna hub","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"verna hub verna","Ignore",0.00,4,0,0.00,1,0,0.00,15.48
NULL,1,"vesuhub_stv","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vettichira","Ignore",0.00,3,0,0.00,1,0,0.00,22.38
NULL,1,"vettichirahub_vtt vettichira","Ignore",0.00,0,0,0.00,1,0,0.00,14.39
NULL,1,"vibhutikhand hub","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vibhutikhand hub lucknow","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vicky general store bahraich","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vicky kirana store chandigarh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vicky stiching bathinda","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vidisha","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vidisha, vidisha, madhya pradesh","Ignore",0.00,0,0,0.00,2,0,0.00,40.51
NULL,1,"vidya kirana new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vidyanagar hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vidyanagar hub bhopal","Ignore",0.00,15,0,0.00,0,0,0.00,0.00
NULL,1,"vidyaranyapurahub_blr bengaluru","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"vidyaranyapurahubtemp_blr bengaluru","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"vighyan nagar cod centre","Ignore",0.00,5,0,0.00,1,0,0.00,16.28
NULL,1,"vij/bpm, vijayawada, andhra pradesh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vij/hub, vijayawada, andhra pradesh","Ignore",0.00,115,0,0.00,0,0,0.00,0.00
NULL,1,"vij/stpm, vijayawada, andhra pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,15.59
NULL,1,"vij/vij, vijayawada, andhra pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,15.05
NULL,1,"vijay","Ignore",0.00,4,0,0.00,4,0,0.00,15.68
NULL,1,"vijay store mandi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vijayamangalam","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vijayamangalamhub_vjm vijayamangalam","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vijayanagarhub_blr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vijayanagarhub_blr bengaluru","Ignore",0.00,12,0,0.00,0,0,0.00,0.00
NULL,1,"vijayapura","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vijayawada hub","Ignore",0.00,82,0,0.00,8,0,0.00,22.43
NULL,1,"vijayawada, andhra pradesh, in","Ignore",0.00,17,0,0.00,3,0,0.00,48.11
NULL,1,"vijayawadahub_vja","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"vijayawadahub_vja vijayawada","Ignore",0.00,11,0,0.00,0,0,0.00,0.00
NULL,1,"vijaynagar expansion","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"vijaynagarhub_del new delhi","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"vijaypur, vijaypur, jammu and kashmir","Ignore",0.00,0,0,0.00,1,0,0.00,15.74
NULL,1,"bho/lgt-tml, bhopal, madhya pradesh","Ignore",0.00,1,0,0.00,3,0,0.00,36.69
NULL,1,"bho/rsn, bhopal, madhya pradesh","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhokar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhokardan","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhokardanhub_bhk bhokardan","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhola nath mirzapur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhola store new delhi","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhongir","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhongirhub_bng bhongir","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhopal","Ignore",0.00,23,0,0.00,5,0,0.00,28.08
NULL,1,"bhopal cod centre","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"bhosari hub","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhosari hub pune","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhota, bhota, himachal pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,14.37
NULL,1,"bhowanipore bdel","Ignore",0.00,3,0,0.00,5,0,0.00,15.47
NULL,1,"bhuban","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhuban, bhuban, orissa","Ignore",0.00,0,0,0.00,2,0,0.00,39.35
NULL,1,"bhubaneshwar","Ignore",0.00,7,0,0.00,0,0,0.00,0.00
NULL,1,"bhubaneswar - bbn","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhubaneswar hub (bbiw)","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhubaneswar, odisha, in","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhubaneswarhub_bbi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhubaneswarhub_bbi bhubaneswar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhuj","Ignore",0.00,10,0,0.00,0,0,0.00,0.00
NULL,1,"bhuj expansion","Ignore",0.00,0,0,0.00,1,0,0.00,14.73
NULL,1,"bhujhub_bhj bhuj","Ignore",0.00,7,0,0.00,0,0,0.00,0.00
NULL,1,"bhular cosmetic shop mohali","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhuna, bhuna, haryana","Ignore",0.00,0,0,0.00,1,0,0.00,33.47
NULL,1,"bhupalpallyhub_bpl bupalpally","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bhupesh store new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bhusawal","Ignore",0.00,0,0,0.00,1,0,0.00,14.93
NULL,1,"bhusawalhub_jgo jalgaon","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"bidadi","Ignore",0.00,3,0,0.00,1,0,0.00,22.72
NULL,1,"bidadihub_bid","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bidar","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"bidar, karnataka, in","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bidarforthub_bdr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bidhunahub_ary","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bihar sharif","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"biharsharifhub_bsf bihar sharif","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bihta, bihta, bihar","Ignore",0.00,0,0,0.00,1,0,0.00,15.63
NULL,1,"bijanbarimdh_bjn bijanbari","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bijapur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bijapursplithub_bjr bijapur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bijnor","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bijnore","Ignore",0.00,1,0,0.00,1,0,0.00,31.82
NULL,1,"bijwasanhub_del","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bijwasanhub_del new delhi","Ignore",0.00,7,0,0.00,0,0,0.00,0.00
NULL,1,"bikaner hub bikaner","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bikaner, bikaner, rajasthan","Ignore",0.00,15,0,0.00,4,0,0.00,15.38
NULL,1,"bikram khosla damanjodi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bikram store krishnagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bilara","Ignore",0.00,0,0,0.00,2,0,0.00,15.50
NULL,1,"bilara, bilara, rajasthan","Ignore",0.00,0,0,0.00,1,0,0.00,14.42
NULL,1,"bilashipara, bilashipara, assam","Ignore",0.00,0,0,0.00,1,0,0.00,38.55
NULL,1,"bilaspur, bilaspur, chhattisgarh","Ignore",0.00,1,0,0.00,4,0,0.00,16.06
NULL,1,"bilaspurhphub_bur bilaspur","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bilaspurhub_bls bilaspur","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bilekahalli hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bilekahalli hub bengaluru","Ignore",0.00,9,0,0.00,0,0,0.00,0.00
NULL,1,"bina","Ignore",0.00,0,0,0.00,1,0,0.00,30.09
NULL,1,"bindki, bindki, uttar pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,15.56
NULL,1,"binola industrial area, haryana, in","Ignore",0.00,13,0,0.00,0,0,0.00,0.00
NULL,1,"birbhum","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"birpara","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"birpurmdh_sou","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"birpurmdh_sou forbisganj","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"birsamdh_bir birsra","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"birsra","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bishrampur","Ignore",0.00,1,0,0.00,1,0,0.00,34.96
NULL,1,"bissau, bissau, rajasthan","Ignore",0.00,0,0,0.00,1,0,0.00,14.98
NULL,1,"biswanath house krishnagar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bivin s hme rfk trivandrum","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"biwinagar hub","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"biwinagar hub nellore","Ignore",0.00,2,0,0.00,1,0,0.00,14.91
NULL,1,"bkc etail","Ignore",0.00,2,0,0.00,6,0,0.00,28.83
NULL,1,"bkc hub","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"bkc hub mumbai","Ignore",0.00,13,0,0.00,0,0,0.00,0.00
NULL,1,"bli/ballia, ballia, uttar pradesh","Ignore",0.00,3,0,0.00,1,0,0.00,15.06
NULL,1,"blr etail processing unit","Ignore",0.00,0,0,0.00,4,0,0.00,15.97
NULL,1,"blr/ava-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,16.29
NULL,1,"blr/bry-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,15.39
NULL,1,"blr/btm-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,15.69
NULL,1,"blr/cch-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,2,0,0.00,31.82
NULL,1,"blr/crp-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,17.22
NULL,1,"blr/csn-tml, bangalore, karnataka","Ignore",0.00,2,0,0.00,1,0,0.00,16.44
NULL,1,"blr/ecy-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"blr/inr-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,1,0,0.00,33.06
NULL,1,"blr/kmp-ehv, bangalore, karnataka","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"blr/krg-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,15.75
NULL,1,"blr/kyn-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"blr/mcl-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"blr/sa-atble, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,15.49
NULL,1,"blr/sa-bomm, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,15.18
NULL,1,"blr/sa-bsk, bangalore, karnataka","Ignore",0.00,0,0,0.00,2,0,0.00,32.42
NULL,1,"blr/sky-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"blr/spa-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"blr/srm-tml, bangalore, karnataka","Ignore",0.00,0,0,0.00,1,0,0.00,32.36
NULL,1,"blr/srn-tml, bangalore, karnataka","Ignore",0.00,3,0,0.00,1,0,0.00,14.70
NULL,1,"blr/vks-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,1,0,0.00,14.87
NULL,1,"blr/vnl-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,3,0,0.00,39.21
NULL,1,"blr/wht-ehv, bangalore, karnataka","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"blr/ylk-tml, bangalore, karnataka","Ignore",0.00,1,0,0.00,1,0,0.00,14.35
NULL,1,"bobbili","Ignore",0.00,1,0,0.00,1,0,0.00,23.16
NULL,1,"bobbilihub_bbl bobbili","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bodarwarmdh_bbw bodarwar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"boden","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bodenmdh_nua boden","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bodhan","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bodhanhub_bdn bodhan","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"boduppal","Ignore",0.00,1,0,0.00,1,0,0.00,15.53
NULL,1,"boindahub_ang","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"boisar","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"boisarhub_bis","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bokajanhub_szr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bokakhat","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bokakhat office","Ignore",0.00,0,0,0.00,1,0,0.00,15.10
NULL,1,"bokarohub_bko bokaro","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bokarothermalodh_bkr bokaro","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bolagarhhub_nyg puri","Ignore",0.00,0,0,0.00,1,0,0.00,16.55
NULL,1,"bolangir","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bolangirhub_blg","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bolangirhub_blg bolangir","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"bom","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"bom/bdp-ehv, mumbai, maharashtra","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bom/chb-ehv, mumbai, maharashtra","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"bom/dsr-ehv, mumbai, maharashtra","Ignore",0.00,12,0,0.00,0,0,0.00,0.00
NULL,1,"bom/frt, mumbai, maharashtra","Ignore",0.00,1,0,0.00,1,0,0.00,32.93
NULL,1,"bom/knd-tml, mumbai, maharashtra","Ignore",0.00,0,0,0.00,1,0,0.00,14.32
NULL,1,"bom/knd, mumbai, maharashtra","Ignore",0.00,6,0,0.00,5,0,0.00,35.00
NULL,1,"bom/maz-tml, mumbai, maharashtra","Ignore",0.00,2,0,0.00,2,0,0.00,40.29
NULL,1,"bom/maz, mumbai, maharashtra","Ignore",0.00,105,0,0.00,0,0,0.00,0.00
NULL,1,"bom/rvp, mumbai, maharashtra","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"bom/sa-bnd, mumbai, maharashtra","Ignore",0.00,0,0,0.00,1,0,0.00,30.47
NULL,1,"bom/sa-mir, mumbai, maharashtra","Ignore",0.00,0,0,0.00,2,0,0.00,33.71
NULL,1,"bom/sa-vasai, vasai, maharashtra","Ignore",0.00,0,0,0.00,1,0,0.00,35.87
