"priority_rank","ignore_rank","warehouse","category","priority_score","completed_stays","historical_long_stays","historical_long_stay_rate_pct","open_stays","open_long_stays","open_long_stay_rate_pct","max_open_dwell_hours"
53,NULL,"knde","Prioritize for Clearing",8.21,549,61,11.11,22,4,18.18,81.59
55,NULL,"surat ground hub","Prioritize for Clearing",8.06,605,96,15.87,89,8,8.99,71.97
56,NULL,"snpd","Prioritize for Clearing",7.91,23,9,39.13,10,0,0.00,40.12
57,NULL,"hinjewadi warehouse","Prioritize for Clearing",7.87,5952,478,8.03,203,5,2.46,68.78
58,NULL,"jodhpur","Prioritize for Clearing",7.86,31,12,38.71,8,0,0.00,36.72
59,NULL,"pck/wdl, delhi ncr, delhi","Prioritize for Clearing",6.95,581,158,27.19,0,0,0.00,0.00
60,NULL,"bangalore, karnataka, in","Prioritize for Clearing",6.82,786,79,10.05,22,3,13.64,322.74
61,NULL,"chembur","Prioritize for Clearing",6.81,9741,586,6.02,0,0,0.00,0.00
62,NULL,"majra, dehradun, uttarakhand","Prioritize for Clearing",6.67,46,15,32.61,0,0,0.00,0.00
63,NULL,"bengaluru etail hub","Prioritize for Clearing",6.60,6351,390,6.14,428,6,1.40,62.83
64,NULL,"cbvs","Prioritize for Clearing",6.53,260,73,28.08,6,1,16.67,56.76
65,NULL,"hyderabad hub","Prioritize for Clearing",6.12,1924,94,4.89,180,12,6.67,466.18
66,NULL,"chennai","Prioritize for Clearing",6.11,139,30,21.58,15,7,46.67,60.46
67,NULL,"vijayawada","Prioritize for Clearing",6.10,239,44,18.41,32,2,6.25,64.76
68,NULL,"bangalore hub","Prioritize for Clearing",6.04,79,23,29.11,2,0,0.00,45.02
69,NULL,"vasm","Prioritize for Clearing",5.67,2885,265,9.19,23,1,4.35,54.43
69,NULL,"rktm","Prioritize for Clearing",5.67,5020,387,7.71,6,2,33.33,79.98
71,NULL,"borv","Prioritize for Clearing",5.48,83,21,25.30,11,1,9.09,79.82
72,NULL,"bicholim","Prioritize for Clearing",5.41,30,8,26.67,0,0,0.00,0.00
73,NULL,"kushkhera","Prioritize for Clearing",5.15,27,6,22.22,7,3,42.86,178.90
74,NULL,"yakubpur","Prioritize for Clearing",5.05,57,14,24.56,1,0,0.00,24.79
75,NULL,"ctmk","Prioritize for Clearing",4.90,211,47,22.27,7,0,0.00,31.25
75,NULL,"hirankudna","Prioritize for Clearing",4.90,4122,325,7.88,1,1,100.00,59.63
77,NULL,"secb","Prioritize for Clearing",4.88,245,42,17.14,30,1,3.33,52.10
78,NULL,"dehradun","Prioritize for Clearing",4.83,1048,161,15.36,4,1,25.00,83.35
79,NULL,"lprl","Prioritize for Clearing",4.72,79,6,7.59,30,3,10.00,81.67
80,NULL,"bopl","Prioritize for Clearing",4.66,32,7,21.88,5,1,20.00,56.10
81,NULL,"dwrk","Prioritize for Clearing",4.64,104,23,22.12,12,0,0.00,37.41
82,NULL,"changodar gidc, gujarat, in","Prioritize for Clearing",4.58,83,14,16.87,11,5,45.45,62.47
83,NULL,"path","Prioritize for Clearing",4.56,53,4,7.55,16,14,87.50,174.71
84,NULL,"slg/hub, siliguri, west bengal","Prioritize for Clearing",4.49,136,9,6.62,45,4,8.89,298.32
85,NULL,"shimla","Prioritize for Clearing",4.44,32,7,21.88,2,0,0.00,34.60
86,NULL,"belapur","Prioritize for Clearing",4.43,1177,167,14.19,1,0,0.00,15.23
87,NULL,"delhi hub (delw)","Prioritize for Clearing",4.30,108,21,19.44,3,1,33.33,62.25
88,NULL,"guwahati hub","Prioritize for Clearing",4.19,622,88,14.15,83,1,1.20,86.00
89,NULL,"cjbs","Prioritize for Clearing",3.94,33,5,15.15,15,4,26.67,77.70
89,NULL,"rjcx","Prioritize for Clearing",3.94,3074,192,6.25,15,4,26.67,85.05
91,NULL,"chsk","Prioritize for Clearing",3.78,568,70,12.32,3,3,100.00,62.70
92,NULL,"guwahati, assam, in","Prioritize for Clearing",3.73,23,4,17.39,1,1,100.00,92.56
93,NULL,"nida","Prioritize for Clearing",3.69,83,13,15.66,18,2,11.11,175.82
94,NULL,"cahm","Prioritize for Clearing",3.63,2542,171,6.73,3,3,100.00,445.77
95,NULL,"belgium square office.","Prioritize for Clearing",3.58,1645,165,10.03,0,0,0.00,0.00
96,NULL,"jaih","Prioritize for Clearing",3.45,72,12,16.67,27,0,0.00,38.26
97,NULL,"national highway hub","Prioritize for Clearing",3.39,65,10,15.38,6,1,16.67,53.82
98,NULL,"hyderabad, telangana, in","Prioritize for Clearing",3.34,69,9,13.04,12,3,25.00,188.09
99,NULL,"bilaspur mini hub (a","Prioritize for Clearing",3.31,138,13,9.42,23,1,4.35,64.78
100,NULL,"pune, maharashtra, in","Prioritize for Clearing",3.30,72,7,9.72,18,6,33.33,243.64
101,NULL,"rto/amd, ahmedabad, gujarat","Prioritize for Clearing",3.15,52,8,15.38,0,0,0.00,0.00
102,NULL,"hsrl","Prioritize for Clearing",3.14,978,76,7.77,14,4,28.57,64.24
103,NULL,"pck/agra, agra, uttar pradesh","Prioritize for Clearing",3.13,1490,136,9.13,0,0,0.00,0.00
104,NULL,"jalandhar","Prioritize for Clearing",3.12,26,4,15.38,1,0,0.00,19.35
104,NULL,"okhl","Prioritize for Clearing",3.12,317,34,10.73,17,3,17.65,54.47
106,NULL,"ixrh","Prioritize for Clearing",3.09,60,9,15.00,4,0,0.00,33.61
107,NULL,"komp","Prioritize for Clearing",3.08,33,5,15.15,2,0,0.00,27.65
108,NULL,"bengaluru - blr","Prioritize for Clearing",2.98,26,3,11.54,7,3,42.86,224.08
109,NULL,"jpng","Prioritize for Clearing",2.93,269,20,7.43,24,1,4.17,57.38
110,NULL,"hdpm","Prioritize for Clearing",2.80,204,26,12.75,2,0,0.00,37.13
111,NULL,"rajkot","Prioritize for Clearing",2.78,1227,99,8.07,4,1,25.00,126.59
112,NULL,"pnq/chn, chakan, maharashtra","Prioritize for Clearing",2.70,1841,132,7.17,1,0,0.00,14.32
112,NULL,"delhi - del","Prioritize for Clearing",2.70,75,9,12.00,19,1,5.26,54.82
114,NULL,"gauh","Prioritize for Clearing",2.58,75,7,9.33,8,3,37.50,51.60
115,NULL,"gandhinagar","Prioritize for Clearing",2.52,135,16,11.85,1,0,0.00,14.85
116,NULL,"bareja service centre","Prioritize for Clearing",2.50,584,57,9.76,0,0,0.00,0.00
117,NULL,"bengaluru transit hu","Prioritize for Clearing",2.48,1290,60,4.65,33,1,3.03,72.15
118,NULL,"ddb branch office","Prioritize for Clearing",2.46,33,4,12.12,0,0,0.00,0.00
119,NULL,"okhla","Prioritize for Clearing",2.45,1457,105,7.21,0,0,0.00,0.00
120,NULL,"air hub in siw","Prioritize for Clearing",2.43,234,12,5.13,13,6,46.15,67.80
121,NULL,"panvel hub","Prioritize for Clearing",2.42,77,9,11.69,5,0,0.00,19.57
122,NULL,"bhowanipur","Prioritize for Clearing",2.35,801,68,8.49,0,0,0.00,0.00
123,NULL,"pnq/hdp, pune, maharashtra","Prioritize for Clearing",2.34,26,3,11.54,1,0,0.00,15.02
124,NULL,"rhni","Prioritize for Clearing",2.33,231,13,5.63,16,5,31.25,119.48
125,NULL,"pck/bje, delhi ncr, delhi","Prioritize for Clearing",2.32,2268,126,5.56,0,0,0.00,0.00
126,NULL,"kom service centre","Prioritize for Clearing",2.27,45,5,11.11,4,0,0.00,27.98
127,NULL,"moradabad","Prioritize for Clearing",2.25,282,28,9.93,1,0,0.00,20.11
128,NULL,"pnpn","Prioritize for Clearing",2.24,61,6,9.84,5,1,20.00,58.15
129,NULL,"rto/mld, mumbai, maharashtra","Prioritize for Clearing",2.23,1116,81,7.26,0,0,0.00,0.00
130,NULL,"kovaipudur","Prioritize for Clearing",2.20,597,51,8.54,0,0,0.00,0.00
131,NULL,"patna air hub","Prioritize for Clearing",2.15,537,46,8.57,61,0,0.00,29.12
132,NULL,"silchar hub","Prioritize for Clearing",1.94,120,11,9.17,12,0,0.00,33.48
132,NULL,"rto/vasai, mumbai, maharashtra","Prioritize for Clearing",1.94,1178,73,6.20,0,0,0.00,0.00
134,NULL,"dharwad","Prioritize for Clearing",1.89,210,18,8.57,30,0,0.00,48.31
135,NULL,"varanasi","Prioritize for Clearing",1.84,164,14,8.54,47,0,0.00,35.43
136,NULL,"bhiwandi - brt","Prioritize for Clearing",1.82,61,3,4.92,134,2,1.49,211.25
137,NULL,"gwl/hub, gwalior, madhya pradesh","Prioritize for Clearing",1.79,125,8,6.40,6,2,33.33,190.87
138,NULL,"hoogly, west bengal, in","Prioritize for Clearing",1.72,72,6,8.33,1,0,0.00,28.40
139,NULL,"rudrapur hub","Prioritize for Clearing",1.70,125,10,8.00,11,0,0.00,38.18
140,NULL,"pck/spt, hyderabad, telangana","Prioritize for Clearing",1.62,25,2,8.00,0,0,0.00,0.00
141,NULL,"rto/maz, mumbai, maharashtra","Prioritize for Clearing",1.60,105,8,7.62,0,0,0.00,0.00
142,NULL,"mann","Prioritize for Clearing",1.56,143,9,6.29,10,1,10.00,57.30
